,Word 1,Word 2,Human (mean),rank_wordsim,w2v_score,rank_w2v
118,phone,equipment,7.13,119,0.17684191465377808,259
119,bird,cock,7.1,120,0.30954915285110474,161
120,tiger,carnivore,7.08,121,0.5728569030761719,47
121,company,stock,7.08,122,0.3476676940917969,132
122,liability,insurance,7.03,123,0.44559991359710693,108
123,stroke,hospital,7.03,124,0.26861122250556946,89
124,game,victory,7.03,125,0.39437994360923767,181
125,doctor,nurse,7.0,126,0.7106922268867493,18
126,psychology,anxiety,7.0,127,0.25470125675201416,39
127,tiger,animal,7.0,128,0.5950750708580017,193
128,game,defeat,6.97,129,0.3489614725112915,130
129,FBI,fingerprint,6.94,130,0.29309552907943726,166
130,opera,performance,6.88,131,0.1940924972295761,322
131,street,block,6.88,132,0.25171414017677307,195
132,money,withdrawal,6.88,133,0.07571061700582504,245
133,drink,eat,6.87,134,0.6380138397216797,28
134,cup,tableware,6.85,135,0.27912184596061707,178
135,tiger,mammal,6.85,136,0.538138210773468,320
136,drug,abuse,6.85,137,0.256426602602005,191
137,psychology,fear,6.85,138,0.07879400253295898,55
138,student,professor,6.81,139,0.46377795934677124,129
139,concert,virtuoso,6.81,140,0.3533661961555481,20
140,football,basketball,6.81,141,0.6933616995811462,81
141,computer,laboratory,6.78,142,0.38188648223876953,117
142,television,radio,6.77,143,0.7413384318351746,202
143,love,sex,6.77,144,0.24517782032489777,10
144,problem,challenge,6.75,145,0.4740154445171356,78
145,movie,critic,6.73,146,0.07775469869375229,321
146,Arafat,peace,6.73,147,0.34857213497161865,131
147,bed,closet,6.72,148,0.5154152512550354,60
148,psychology,science,6.71,149,0.6086922883987427,32
149,lawyer,evidence,6.69,150,0.0858105942606926,162
150,fertility,egg,6.69,151,0.304494708776474,38
151,bishop,rabbi,6.69,152,0.5963401198387146,316
152,precedent,law,6.65,153,0.36995553970336914,122
153,minister,party,6.63,154,0.25802046060562134,31
154,football,tennis,6.63,155,0.6218804717063904,188
155,professor,doctor,6.62,156,0.24473384022712708,203
156,cup,coffee,6.58,157,0.4078576862812042,298
157,psychology,clinic,6.58,158,0.1200428232550621,102
158,water,seepage,6.56,159,0.5005649328231812,140
159,government,crisis,6.56,160,0.33524516224861145,67
160,space,world,6.53,161,0.23666539788246155,213
161,Japanese,American,6.5,162,0.44595465064048767,88
162,dividend,calculation,6.48,163,0.248130664229393,201
163,luxury,car,6.47,164,0.29425713419914246,164
164,victim,emergency,6.47,165,0.05116041377186775,330
165,tool,implement,6.46,166,0.1953757107257843,243
166,competition,price,6.44,167,0.19394078850746155,231
167,street,place,6.44,168,0.21105052530765533,246
168,psychology,doctor,6.42,169,0.1795540750026703,258
169,gender,equality,6.41,170,0.535261869430542,56
170,listing,category,6.38,171,0.13734270632266998,287
171,discovery,space,6.34,172,0.09749073535203934,100
172,oil,stock,6.34,173,0.41683682799339294,308
173,video,archive,6.34,174,0.39003580808639526,137
174,governor,office,6.34,175,0.3388362526893616,112
175,shower,thunderstorm,6.31,176,0.3824138045310974,70
176,record,number,6.31,177,0.2227320522069931,116
177,train,car,6.31,178,0.49487465620040894,222
178,brother,monk,6.27,179,0.23825138807296753,210
179,disaster,area,6.25,180,0.17261232435703278,343
180,nature,man,6.25,181,0.06825682520866394,325
181,production,crew,6.25,182,0.12175559252500534,295
182,family,planning,6.25,183,-0.009684925898909569,261
183,skin,eye,6.22,184,0.5056160092353821,265
184,food,preparation,6.22,185,0.1671985685825348,63
185,preservation,world,6.19,186,0.12200125306844711,125
186,movie,popcorn,6.19,187,0.3638453483581543,128
187,lover,quarrel,6.19,188,0.1895584613084793,294
188,game,series,6.19,189,0.35471251606941223,12
189,bread,butter,6.19,190,0.7356786131858826,249
190,dollar,loss,6.09,191,0.19576771557331085,242
191,weapon,secret,6.06,192,0.22206217050552368,224
192,precedent,antecedent,6.04,193,0.1682472974061966,264
193,shower,flood,6.03,194,0.13618692755699158,288
194,announcement,warning,6.0,195,0.32471680641174316,232
195,registration,arrangement,6.0,196,0.16404633224010468,266
196,arrival,hotel,6.0,197,0.2091258317232132,145
197,game,round,5.97,198,0.4204084277153015,199
198,baseball,season,5.97,199,0.24937516450881958,99
199,drink,mouth,5.96,200,0.2552942633628845,192
200,grocery,money,5.94,201,0.1634417027235031,239
201,energy,crisis,5.94,202,0.1972314566373825,267
202,life,lesson,5.94,203,0.2580982744693756,187
203,king,rook,5.92,204,0.25934284925460815,186
204,cucumber,potato,5.92,205,0.6888373494148254,22
205,equipment,maker,5.91,206,0.19705472886562347,103
206,reason,criterion,5.91,207,0.4076116681098938,240
207,cup,liquid,5.9,208,0.3302045166492462,143
208,deployment,withdrawal,5.88,209,0.5867835879325867,42
209,tiger,zoo,5.87,210,0.5022717118263245,66
210,journey,car,5.85,211,0.2012566477060318,236
211,precedent,example,5.85,212,0.39365169405937195,111
212,smart,stupid,5.81,213,0.4851877689361572,75
213,plane,car,5.77,214,0.5322682857513428,57
214,planet,people,5.75,215,0.23481422662734985,215
215,lobster,wine,5.7,216,0.48516780138015747,76
216,money,laundering,5.65,217,-0.14237843453884125,353
217,OPEC,country,5.63,218,0.23789158463478088,272
218,Mars,scientist,5.63,219,0.15687301754951477,346
219,summer,nature,5.63,220,-0.018096962943673134,95
220,decoration,valor,5.63,221,0.43129947781562805,211
221,tiger,fauna,5.62,222,0.31445425748825073,156
222,psychology,discipline,5.58,223,0.2786133587360382,179
223,glass,metal,5.56,224,0.5622543692588806,51
224,alcohol,chemistry,5.54,225,0.1455685943365097,285
225,disability,death,5.47,226,0.22110621631145477,226
226,change,attitude,5.44,227,0.19264402985572815,247
227,arrangement,accommodation,5.41,228,0.34157997369766235,135
228,territory,surface,5.34,229,0.288320392370224,171
229,exhibit,memorabilia,5.31,230,0.2225247174501419,235
230,credit,information,5.31,231,0.20156364142894745,338
231,size,prominence,5.31,232,0.023132966831326485,223
232,territory,kilometer,5.28,233,0.15483088791370392,273
233,death,row,5.25,234,0.11973228305578232,167
234,man,governor,5.25,235,0.29247045516967773,299
235,doctor,liability,5.19,236,0.1462070643901825,283
236,impartiality,interest,5.16,237,0.17127209901809692,263
237,energy,laboratory,5.09,238,0.13189394772052765,290
238,secretary,senate,5.06,239,0.22733594477176666,221
239,death,inmate,5.03,240,0.3036612272262573,163
240,cup,food,5.0,241,0.11400830000638962,253
241,travel,activity,5.0,242,0.15059903264045715,277
242,doctor,personnel,5.0,243,0.1841972917318344,300
243,monk,oracle,5.0,244,0.2508874237537384,197
244,journal,association,4.97,245,0.18321190774440765,256
245,street,children,4.94,246,0.0968521237373352,309
246,car,flight,4.94,247,0.2896522879600525,169
247,space,chemistry,4.88,248,0.24377954006195068,204
248,situation,conclusion,4.81,249,0.3164582848548889,153
249,tiger,organism,4.77,250,0.3205866813659668,149
250,peace,plan,4.75,251,0.14591611921787262,123
251,consumer,energy,4.75,252,0.36910003423690796,284
252,word,similarity,4.75,253,0.21537034213542938,229
253,ministry,culture,4.69,254,0.0877775326371193,315
254,hospital,infrastructure,4.63,255,0.012722872197628021,340
255,smart,student,4.62,256,-0.019019881263375282,347
256,investigation,effort,4.59,257,0.3112638294696808,160
257,image,surface,4.56,258,0.2686288058757782,180
258,life,term,4.5,259,0.28615155816078186,174
259,start,match,4.47,260,0.32903221249580383,138
260,board,recommendation,4.47,261,0.33789294958114624,328
261,computer,news,4.47,262,0.05695456266403198,144
262,lad,brother,4.46,263,0.3861871361732483,113
263,food,rooster,4.42,264,0.14790479838848114,282
264,coast,hill,4.38,265,0.356548547744751,168
265,observation,architecture,4.38,266,0.28984755277633667,126
266,benchmark,index,4.25,267,0.5685416460037231,110
267,deployment,departure,4.25,268,0.3941023349761963,48
268,attempt,peace,4.25,269,0.16062518954277039,270
269,consumer,confidence,4.13,270,0.17500224709510803,260
270,start,year,4.06,271,0.12314094603061676,293
271,focus,life,4.06,272,0.0981341227889061,307
272,development,issue,3.97,273,0.1252245455980301,292
273,day,summer,3.94,274,0.5032505989074707,65
274,theater,history,3.91,275,0.19951029121875763,237
275,situation,isolation,3.88,276,0.37087297439575195,150
276,chance,credibility,3.88,277,0.31984245777130127,306
277,media,trading,3.88,278,0.09185957908630371,312
278,profit,warning,3.88,279,0.09965694695711136,120
279,precedent,information,3.85,280,0.1307467818260193,291
280,architecture,century,3.78,281,0.2413395494222641,207
281,population,development,3.75,282,0.18749593198299408,251
282,stock,live,3.73,283,-0.0524718277156353,352
283,peace,atmosphere,3.69,284,0.18410098552703857,278
284,morality,marriage,3.69,285,0.29360079765319824,254
285,atmosphere,landscape,3.69,286,0.4509432017803192,86
286,cup,object,3.69,287,0.15007661283016205,165
287,minority,peace,3.69,288,0.19781579077243805,238
288,music,project,3.63,289,0.06957930326461792,324
289,report,gain,3.63,290,0.13284681737422943,289
290,seven,series,3.56,291,0.2819202244281769,176
291,experience,music,3.47,292,0.24225777387619019,206
292,school,center,3.44,293,0.22917261719703674,218
293,announcement,production,3.38,294,0.11363277584314346,301
294,five,month,3.38,295,0.20849205553531647,234
295,morality,importance,3.31,296,0.3115839660167694,317
296,money,operation,3.31,297,0.08394051343202591,159
297,delay,news,3.31,298,0.052731193602085114,329
298,governor,interview,3.25,299,0.14918528497219086,279
299,practice,institution,3.19,300,0.22797448933124542,219
300,century,nation,3.16,301,0.25063931941986084,198
301,coast,forest,3.15,302,0.3344017565250397,141
302,shore,woodland,3.08,303,0.11354169994592667,302
303,drink,car,3.04,304,0.2889321744441986,170
304,prejudice,recognition,3.0,305,0.18663878738880157,310
305,president,medal,3.0,306,0.09648498147726059,252
306,viewer,serial,2.97,307,0.21209003031253815,230
307,Mars,water,2.94,308,0.23575247824192047,348
308,peace,insurance,2.94,309,-0.020282883197069168,214
309,cup,artifact,2.92,310,0.09102833271026611,313
310,media,gain,2.88,311,0.048333972692489624,331
311,precedent,cognition,2.81,312,0.03121616505086422,335
312,announcement,effort,2.75,313,0.28516122698783875,175
313,crane,implement,2.69,314,0.0014815927715972066,342
314,line,insurance,2.69,315,0.10608431696891785,304
315,drink,mother,2.65,316,0.22754491865634918,220
316,opera,industry,2.63,317,0.025303756818175316,337
317,listing,proximity,2.56,318,0.08199668675661087,318
318,volunteer,motto,2.56,319,0.0810369923710823,319
319,Arafat,Jackson,2.5,320,0.24286408722400665,205
320,precedent,collection,2.5,321,0.00802489835768938,341
321,cup,article,2.4,322,0.09379234910011292,311
322,sign,recess,2.38,323,0.09055431932210922,314
323,problem,airport,2.38,324,0.10407575219869614,305
324,reason,hypertension,2.31,325,0.1943037360906601,244
325,direction,combination,2.25,326,0.18353742361068726,255
326,Wednesday,news,2.22,327,0.22086872160434723,227
327,cup,entity,2.15,328,0.04108225554227829,332
328,glass,magician,2.08,329,0.1483595222234726,85
329,cemetery,woodland,2.08,330,0.45170846581459045,280
330,possibility,girl,1.94,331,0.07283806055784225,323
331,cup,substance,1.92,332,0.22003674507141113,228
332,forest,graveyard,1.85,333,0.31580328941345215,155
333,month,hotel,1.81,334,0.17199791967868805,345
334,energy,secretary,1.81,335,-0.01603872701525688,281
335,stock,egg,1.81,336,0.14815321564674377,262
336,precedent,group,1.77,337,0.028729211539030075,336
337,production,hike,1.75,338,0.10979253053665161,303
338,stock,phone,1.62,339,0.1825885772705078,257
339,holy,sex,1.62,340,0.1584414392709732,271
340,stock,CD,1.31,341,0.2408037781715393,208
341,drink,ear,1.31,342,0.18901626765727997,250
342,delay,racism,1.19,343,0.03575337305665016,334
343,stock,life,0.92,344,0.061227429658174515,333
344,stock,jaguar,0.92,345,0.03995243459939957,327
345,lad,wizard,0.92,346,0.4131239652633667,142
346,monk,slave,0.92,347,0.3322562873363495,101
347,sugar,approach,0.88,348,0.06281421333551407,326
348,rooster,voyage,0.62,349,0.12156857550144196,296
349,noon,string,0.54,350,-0.0326097346842289,134
350,chord,smile,0.54,351,0.34279659390449524,350
351,professor,cucumber,0.31,352,-0.02072293497622013,349
352,king,cabbage,0.23,353,0.208679661154747,233
