,word1,word2,SimLex999,SD(SimLex),rank_simlex,w2v_score,rank_w2v
206,meal,dinner,7.15,2.0,207,0.6716679930686951,275
207,investigate,pursue,7.15,0.56,208,0.54839688539505,306
208,activity,movement,7.15,1.1,209,0.3229956030845642,41
209,disease,infection,7.15,1.08,210,0.7539761662483215,23
210,fee,payment,7.15,1.56,211,0.5670318007469177,108
211,crime,violation,7.12,0.87,212,0.26075389981269836,826
212,actress,actor,7.12,1.3,213,0.8414387106895447,9
213,take,obtain,7.1,1.01,214,0.39664632081985474,594
214,mouth,lip,7.1,1.4,215,0.4473443627357483,500
215,steeple,chapel,7.08,1.03,216,0.6098819971084595,195
216,band,orchestra,7.08,1.36,217,0.6029659509658813,201
217,strength,might,7.07,0.8,218,0.04658102989196777,984
218,value,belief,7.07,0.95,219,0.23954015970230103,621
219,father,parent,7.07,1.06,220,0.3806210458278656,855
220,horse,colt,7.07,0.84,221,0.6328839659690857,162
221,right,justice,7.05,1.52,222,0.21310880780220032,966
222,archbishop,bishop,7.05,1.59,223,0.7754817008972168,392
223,arrive,come,7.05,1.56,224,0.5026015043258667,883
224,recent,new,7.05,1.05,225,0.08151642233133316,33
225,cattle,beef,7.03,1.53,226,0.401712566614151,581
226,pretend,portray,7.03,1.64,227,0.4007028341293335,583
227,bird,hen,7.03,1.43,228,0.46611258387565613,468
228,business,industry,7.02,1.1,229,0.5963037610054016,217
229,alcohol,brandy,6.98,0.57,230,0.3749869167804718,335
230,violent,angry,6.98,1.55,231,0.325838565826416,725
231,music,melody,6.98,1.36,232,0.5291960835456848,633
232,monster,demon,6.95,1.5,233,0.6832246780395508,475
233,flower,violet,6.95,1.72,234,0.46186596155166626,94
234,illness,infection,6.9,1.28,235,0.6828810572624207,863
235,adult,guardian,6.9,1.19,236,0.23656131327152252,97
236,limb,leg,6.9,1.23,237,0.4777684807777405,444
237,vision,perception,6.88,1.31,238,0.39094287157058716,111
238,accept,acknowledge,6.88,1.63,239,0.6695774793624878,604
239,ignore,avoid,6.87,1.22,240,0.4874698221683502,421
240,mink,fur,6.83,0.39,241,0.724228024482727,61
241,new,fresh,6.83,1.2,242,0.5323349237442017,330
242,ray,sunshine,6.83,1.55,243,0.311193585395813,750
243,cat,lion,6.75,0.84,244,0.5208025574684143,270
244,imitate,portray,6.75,1.13,245,0.5700663328170776,114
245,aisle,hallway,6.75,1.36,246,0.5165159106254578,356
246,idea,scheme,6.75,1.47,247,0.29177969694137573,787
247,accept,believe,6.75,1.61,248,0.5127546191215515,821
248,appointment,engagement,6.75,1.59,249,0.26398617029190063,367
249,boy,son,6.75,0.88,250,0.6661680936813354,370
250,canyon,valley,6.75,1.39,251,0.7280573844909668,58
251,alcohol,cocktail,6.73,1.2,252,0.3108123242855072,753
252,big,broad,6.73,1.68,253,0.3265310525894165,723
253,sofa,chair,6.67,1.56,254,0.44862207770347595,692
254,dumb,foolish,6.67,1.36,255,0.6545862555503845,288
255,world,globe,6.67,0.67,256,0.7201682329177856,708
256,collect,save,6.67,0.44,257,0.54374098777771,311
257,chair,bench,6.67,1.22,258,0.33692070841789246,314
258,cloud,mist,6.67,1.43,259,0.5573687553405762,328
259,discuss,explain,6.67,1.53,260,0.5342833995819092,496
260,money,capital,6.67,0.97,261,0.3451795279979706,128
261,boy,brother,6.67,1.58,262,0.5423049330711365,64
262,endurance,strength,6.58,0.59,263,0.3666037917137146,391
263,composer,writer,6.58,0.8,264,0.6163243055343628,300
264,bird,turkey,6.58,1.6,265,0.44789156317710876,186
265,delightful,cheerful,6.58,1.56,266,0.5505252480506897,365
266,violin,instrument,6.58,1.39,267,0.5026268362998962,498
267,save,protect,6.58,0.44,268,0.5249778628349304,344
268,situation,condition,6.58,1.41,269,0.517216682434082,647
269,cabin,hut,6.53,1.37,270,0.4108274281024933,562
270,frustration,anger,6.5,0.39,271,0.7812935709953308,722
271,marijuana,herb,6.5,0.59,272,0.3377794921398163,870
272,mother,guardian,6.5,1.13,273,0.3267328143119812,45
273,beautiful,wonderful,6.5,0.85,274,0.7499191164970398,707
274,intelligence,logic,6.5,1.2,275,0.22722169756889343,31
275,vehicle,bus,6.47,1.38,276,0.5121538043022156,535
276,shelter,hut,6.47,1.59,277,0.42478761076927185,375
277,ask,plead,6.47,1.62,278,0.43223512172698975,526
278,water,ice,6.47,1.66,279,0.4726335108280182,451
279,molecule,atom,6.45,1.56,280,0.503122866153717,390
280,cooperate,participate,6.43,1.5,281,0.5643919706344604,279
281,navy,army,6.43,0.53,282,0.6503288745880127,131
282,tin,aluminum,6.42,1.3,283,0.5211658477783203,354
283,storm,hurricane,6.38,0.9,284,0.7682936787605286,501
284,guilty,ashamed,6.38,0.47,285,0.22785231471061707,265
285,withdraw,reject,6.38,1.97,286,0.5719377398490906,36
286,acquire,find,6.38,1.74,287,0.4460611939430237,868
287,book,text,6.35,1.43,288,0.3750898241996765,632
288,aisle,hall,6.35,0.96,289,0.2852531671524048,793
289,size,magnitude,6.33,0.59,290,0.35814473032951355,203
290,hysteria,confusion,6.33,0.44,291,0.6022781729698181,667
291,mouth,tooth,6.3,1.39,292,0.39734402298927307,591
292,sandwich,lunch,6.3,1.53,293,0.5004556775093079,398
293,appear,attend,6.28,1.47,294,0.36689892411231995,129
294,priest,monk,6.28,0.61,295,0.6536893844604492,489
295,whiskey,gin,6.28,1.14,296,0.6735754013061523,106
296,driver,pilot,6.28,1.52,297,0.4527040421962738,646
297,glass,crystal,6.27,1.48,298,0.4732680916786194,260
298,winter,season,6.27,1.76,299,0.5737765431404114,450
299,overcome,dominate,6.25,1.58,300,0.3340718746185303,710
300,dictionary,definition,6.25,1.06,301,0.3395386338233948,704
301,argue,persuade,6.23,1.7,302,0.4235248565673828,540
302,article,journal,6.18,1.45,303,0.39770257472991943,670
303,big,heavy,6.18,1.54,304,0.35774171352386475,590
304,take,steal,6.18,1.69,305,0.4200255870819092,546
305,kidney,organ,6.17,0.95,306,0.5742594599723816,876
306,noise,rattle,6.17,1.33,307,0.21874180436134338,412
307,greet,meet,6.17,1.73,308,0.4904354214668274,258
308,organ,liver,6.15,1.12,309,0.5371779203414917,321
309,hen,turkey,6.13,1.6,310,0.5060946345329285,384
310,depth,magnitude,6.12,1.64,311,0.4448067545890808,505
311,rhythm,melody,6.12,1.27,312,0.6349561214447021,158
312,bed,furniture,6.08,0.84,313,0.32777413725852966,718
313,attend,arrive,6.08,1.18,314,0.4958026111125946,408
314,flu,fever,6.08,1.58,315,0.46684661507606506,466
315,wealth,prestige,6.07,1.55,316,0.46818530559539795,194
316,insect,bee,6.07,1.34,317,0.6106262803077698,460
317,code,symbol,6.03,1.67,318,0.17656809091567993,905
318,happiness,peace,6.03,1.35,319,0.3251184821128845,127
319,pipe,cigar,6.03,1.01,320,0.3978959023952484,144
320,oak,maple,6.03,0.39,321,0.6442041993141174,589
321,impatient,anxious,6.03,1.22,322,0.654826283454895,726
322,beg,ask,6.0,1.58,323,0.5372191667556763,319
323,cloud,fog,6.0,1.04,324,0.5375952124595642,320
324,sunset,evening,5.98,1.35,325,0.45209625363349915,490
325,rain,mist,5.97,1.83,326,0.5291574597358704,146
326,lover,companion,5.97,0.8,327,0.643153190612793,336
327,unhappy,mad,5.95,1.36,328,0.30341604351997375,172
328,belief,impression,5.95,0.72,329,0.45582136511802673,879
329,army,legion,5.95,1.29,330,0.21706318855285645,767
330,cat,pet,5.95,1.41,331,0.6245322823524475,486
331,prince,king,5.92,1.05,332,0.6673851609230042,112
332,enjoy,entertain,5.92,1.27,333,0.549106240272522,303
333,hard,dense,5.9,1.0,334,0.26656752824783325,687
334,kill,destroy,5.9,1.93,335,0.683070182800293,438
335,friendly,generous,5.9,0.6,336,0.3989498019218445,751
336,accident,catastrophe,5.9,1.63,337,0.3479897975921631,820
337,intelligence,insight,5.9,1.59,338,0.2553119957447052,835
338,laden,heavy,5.9,1.28,339,0.3111128509044647,95
339,stomach,waist,5.9,1.49,340,0.4796085059642792,585
340,moon,planet,5.87,1.57,341,0.6450958847999573,142
341,clothes,fabric,5.87,1.66,342,0.45406776666641235,487
342,guy,stud,5.83,1.7,343,0.30600661039352417,778
343,goal,quest,5.83,1.31,344,0.29729223251342773,760
344,house,apartment,5.8,1.4,345,0.7306200265884399,56
345,determine,predict,5.8,1.37,346,0.6260223984718323,155
346,comfort,safety,5.8,1.21,347,0.23768752813339233,861
347,meat,bacon,5.8,1.5,348,0.6205679774284363,712
348,deserve,earn,5.8,0.62,349,0.3325643837451935,170
349,carry,bring,5.8,1.24,350,0.6361641883850098,196
350,death,tragedy,5.8,1.13,351,0.3588922619819641,663
351,disappear,shrink,5.8,1.0,352,0.6097261309623718,181
352,remain,retain,5.75,1.12,353,0.5942496061325073,125
353,child,boy,5.75,1.82,354,0.6552616953849792,222
354,replace,restore,5.73,1.08,355,0.5025067925453186,394
355,river,sea,5.72,0.39,356,0.6458713412284851,85
356,elegance,style,5.72,1.76,357,0.697371244430542,138
357,woman,wife,5.72,1.35,358,0.4799189567565918,437
358,opinion,idea,5.7,1.29,359,0.3418077230453491,699
359,president,mayor,5.68,1.4,360,0.5733438730239868,730
360,win,dominate,5.68,1.74,361,0.32407018542289734,584
361,gun,cannon,5.68,1.56,362,0.39931100606918335,262
362,crime,fraud,5.65,1.18,363,0.4357987940311432,518
363,newspaper,information,5.65,1.31,364,0.035150595009326935,986
364,book,story,5.63,0.78,365,0.5249180197715759,152
365,tin,metal,5.63,1.15,366,0.6018388867378235,204
366,polyester,cotton,5.63,1.53,367,0.6384933590888977,345
367,meter,yard,5.6,1.32,368,0.35809311270713806,958
368,beach,island,5.6,0.39,369,0.5556474328041077,107
369,communication,television,5.6,1.27,370,0.08683855086565018,290
370,cloud,storm,5.6,1.47,371,0.349636971950531,684
371,cab,bus,5.6,1.64,372,0.6735695600509644,570
372,bias,opinion,5.6,1.16,373,0.4069434404373169,668
373,helper,maid,5.58,0.44,374,0.5413826704025269,494
374,doctor,orthodontist,5.58,1.25,375,0.40834298729896545,316
375,machine,engine,5.58,1.95,376,0.44975361227989197,564
376,floor,deck,5.55,1.06,377,0.5996896028518677,210
377,vitamin,iron,5.55,1.14,378,0.14989407360553741,921
378,august,month,5.53,1.54,379,-0.04146259278059006,995
379,tree,maple,5.53,1.19,380,0.49974456429481506,403
380,know,believe,5.5,1.18,381,0.6830461621284485,7
381,uncle,aunt,5.5,1.63,382,0.8428352475166321,96
382,childish,foolish,5.5,1.45,383,0.5877034664154053,239
383,exit,doorway,5.5,1.73,384,0.1440572440624237,925
384,phrase,word,5.48,1.73,385,0.7710650563240051,569
385,snow,weather,5.48,1.36,386,0.5851944088935852,502
386,discussion,argument,5.48,1.43,387,0.4458733797073364,35
387,absorb,learn,5.48,1.16,388,0.4070880711078644,385
388,street,alley,5.48,1.62,389,0.5058072209358215,241
389,clothes,cloth,5.47,1.43,390,0.5523584485054016,623
390,day,dawn,5.47,1.45,391,0.38015469908714294,297
391,action,course,5.45,1.75,392,0.09084592014551163,952
392,opinion,choice,5.43,1.5,393,0.3640372157096863,653
393,engage,marry,5.43,1.12,394,0.36988013982772827,641
394,book,article,5.43,0.95,395,0.522575318813324,349
395,beer,beverage,5.42,1.34,396,0.6209313273429871,180
396,keep,protect,5.4,1.26,397,0.5741893649101257,259
397,door,doorway,5.4,1.86,398,0.6179155111312866,185
398,era,decade,5.4,1.02,399,0.4329134523868561,524
399,sad,terrible,5.4,0.44,400,0.6236739158630371,173
400,girl,child,5.38,1.21,401,0.6554203033447266,522
401,paper,cardboard,5.38,1.22,402,0.4348268210887909,124
402,pain,harm,5.38,0.95,403,0.29528069496154785,780
403,parent,adult,5.37,1.6,404,0.3043045401573181,762
404,worker,employer,5.37,1.4,405,0.3019907474517822,769
405,clothes,coat,5.35,1.37,406,0.5889215469360352,878
406,intelligence,skill,5.35,1.29,407,0.21795248985290527,343
407,join,marry,5.35,1.41,408,0.5252044796943665,234
408,anatomy,biology,5.33,1.37,409,0.6360465288162231,156
409,whiskey,champagne,5.33,1.29,410,0.630746603012085,164
410,man,husband,5.32,1.71,411,0.39878222346305847,174
411,neck,spine,5.32,1.16,412,0.623323917388916,586
412,acknowledge,notify,5.3,0.62,413,0.5019468069076538,397
413,strength,capability,5.28,1.33,414,0.46103253960609436,478
414,door,gate,5.25,1.47,415,0.6650826334953308,116
415,take,carry,5.23,0.44,416,0.5905762910842896,458
416,plate,bowl,5.23,1.46,417,0.46951809525489807,231
417,club,society,5.23,1.59,418,0.17978297173976898,903
418,rail,fence,5.22,1.17,419,0.262148380279541,822
419,gossip,news,5.22,1.21,420,0.394135445356369,596
420,cooperate,join,5.18,0.36,421,0.5032631158828735,389
421,clothes,jacket,5.15,0.74,422,0.4972580075263977,253
422,give,allow,5.15,1.32,423,0.5761587619781494,139
423,bible,hymn,5.15,1.08,424,0.36581385135650635,406
424,vessel,vein,5.15,1.55,425,0.19432392716407776,727
425,wine,brandy,5.15,1.67,426,0.6457532644271851,897
426,argue,differ,5.15,1.22,427,0.32510775327682495,649
427,bean,coffee,5.15,1.52,428,0.5463812947273254,308
428,sugar,honey,5.13,1.07,429,0.5549604296684265,285
429,cup,jar,5.13,1.17,430,0.560854971408844,372
430,car,carriage,5.13,1.2,431,0.5124933123588562,717
431,think,decide,5.13,1.4,432,0.32985708117485046,293
432,create,imagine,5.13,1.7,433,0.36796632409095764,645
433,get,buy,5.08,1.02,434,0.5840675830841064,695
434,argument,criticism,5.08,1.07,435,0.33835506439208984,401
435,meter,inch,5.08,1.19,436,0.5119002461433411,864
436,take,receive,5.08,0.48,437,0.4999386668205261,376
437,birthday,date,5.08,1.2,438,0.23641511797904968,665
438,army,squad,5.08,1.61,439,0.3422892093658447,243
439,belief,concept,5.08,1.44,440,0.35857078433036804,705
440,afraid,anxious,5.07,1.28,441,0.5504357814788818,301
441,nice,generous,5.0,1.14,442,0.3945735692977905,289
442,book,bible,5.0,1.43,443,0.456889271736145,819
443,story,topic,5.0,1.7,444,0.3887937068939209,443
444,joy,pride,5.0,0.9,445,0.5573320984840393,911
445,absorb,possess,5.0,1.15,446,0.3605113923549652,595
446,muscle,tongue,5.0,1.65,447,0.2682887017726898,659
447,grass,moss,5.0,1.27,448,0.6154941916465759,188
448,please,entertain,5.0,0.71,449,0.16578352451324463,435
449,book,information,5.0,1.13,450,0.14836180210113525,207
450,baby,daughter,5.0,1.29,451,0.6010106801986694,922
451,captain,sailor,5.0,1.43,452,0.4800785183906555,608
452,argue,justify,5.0,1.13,453,0.47777891159057617,482
453,accident,emergency,4.93,0.49,454,0.2506345808506012,459
454,listen,obey,4.93,1.33,455,0.4815164804458618,833
455,calf,bull,4.93,1.67,456,0.2683055102825165,842
456,gut,nerve,4.93,1.65,457,0.4682624340057373,432
457,death,burial,4.93,1.88,458,0.2559720575809479,818
458,kill,choke,4.92,1.48,459,0.48146405816078186,198
459,basketball,baseball,4.92,0.93,460,0.6203978657722473,182
460,worker,mechanic,4.92,1.2,461,0.5800002217292786,268
461,science,psychology,4.92,1.91,462,0.6086922883987427,433
462,add,build,4.92,1.1,463,0.5880476832389832,237
463,lake,swamp,4.92,1.6,464,0.5706515908241272,248
464,say,verify,4.9,0.65,465,0.3780999183654785,626
465,cloud,weather,4.87,0.94,466,0.3006093502044678,491
466,day,morning,4.87,1.95,467,0.590988278388977,772
467,understand,forgive,4.87,1.32,468,0.4520131051540375,230
468,game,action,4.85,1.12,469,0.1923341155052185,246
469,arm,shoulder,4.85,1.81,470,0.5122774243354797,847
470,assume,predict,4.85,1.02,471,0.5804661512374878,374
471,cherish,keep,4.85,1.78,472,0.24673305451869965,747
